episode_number,titles,air_date
1,"The One Where Monica Gets a Roommate, The One with Ross’s New Girlfriend",1994-09-22
2,"The One with the Sonogram at the End",1994-09-29
3,"The One with the Thumb",1994-10-06
4,"The One with George Stephanopoulos",1994-10-13
7,"The One Where Ross Finds Out",1995-11-09
14,"The One Where Everybody Finds Out",1999-02-11
17,"The Last One: Part 1",2004-05-06
18,"The Last One: Part 2, The One with the Lottery",2003-04-03
24,"The One Where Rachel Has a Baby: Part 2, The One with Monica and Chandler’s Wedding: Part 2, The One with Ross’s Wedding: Part 2",1998-05-07
25,"The One at the Beach, The One with the Proposal",1997-05-15
